epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,659.8,1.28161,4.07461,0.94151,0.16557,0.39081,0.17187,0.13258,0.82359,2.66494,0.84135,0.00995434,0.00331811,0.00995434,0.00331811,0.00995434,0.00331811,0.00995434,0.00331811
2,1372.1,0.99686,2.00307,0.86602,0.529,0.6323,0.59306,0.47071,0.76238,2.7383,0.8335,0.0197568,0.0065856,0.0197568,0.0065856,0.0197568,0.0065856,0.0197568,0.0065856
3,2089.9,0.96806,1.50148,0.86277,0.36483,0.46677,0.37182,0.27547,0.94432,2.48226,0.87076,0.0293612,0.00978708,0.0293612,0.00978708,0.0293612,0.00978708,0.0293612,0.00978708
4,2765.17,0.89489,1.25358,0.8498,0.54217,0.65185,0.63647,0.52526,0.67537,1.6441,0.82097,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
5,3465.8,0.8048,1.00831,0.83533,0.7472,0.78305,0.82523,0.69937,0.61953,0.90159,0.81058,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
6,4018.72,0.75065,0.88443,0.82915,0.79721,0.86267,0.90241,0.77395,0.58878,0.71822,0.80341,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
7,4611.68,0.71886,0.79931,0.82301,0.89302,0.91086,0.95668,0.83392,0.5603,0.53569,0.79771,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
8,5224.6,0.6892,0.73539,0.82002,0.88832,0.91914,0.9567,0.83484,0.5542,0.50968,0.80116,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
9,5795.7,0.66522,0.69048,0.81589,0.8983,0.94776,0.96493,0.85481,0.50869,0.46894,0.79427,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
10,6331.23,0.65025,0.656,0.81393,0.91831,0.95156,0.97304,0.85926,0.51838,0.43337,0.79422,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
11,6823.28,0.63796,0.63026,0.81325,0.92121,0.95485,0.97487,0.8381,0.5877,0.4281,0.80252,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
12,7321.33,0.62084,0.60364,0.81108,0.92375,0.95986,0.97368,0.87452,0.47023,0.39254,0.78823,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911
13,7785.07,0.61013,0.58809,0.80902,0.92393,0.97491,0.97657,0.88036,0.4646,0.37393,0.78837,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
14,8247.98,0.59927,0.5776,0.80816,0.93036,0.96859,0.97852,0.86374,0.52371,0.37885,0.79447,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713
15,8738.35,0.59424,0.56018,0.80836,0.9318,0.97902,0.97876,0.87325,0.49734,0.36418,0.79267,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
16,9211.53,0.58518,0.54889,0.80632,0.93716,0.96681,0.97794,0.883,0.46587,0.34927,0.78819,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
17,9657.53,0.57792,0.53763,0.80532,0.94322,0.97018,0.98105,0.89539,0.43748,0.33621,0.78449,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
18,10126.6,0.56934,0.52806,0.80415,0.94262,0.9745,0.98046,0.89158,0.44473,0.33224,0.78439,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317
